item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure
1;INT-Q26-ILU-SUR-2;INT-Q26-ILU-SUR-2;INT-Q26-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
2;INT-K01-ILU-SUR-2;INT-K01-ILU-SUR-2;INT-K01-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
3;INT-MANI-ILU-SUR-2;INT-MANI-ILU-SUR-2;INT-MANI-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
4;INT-SOL-IZQ-1-ILU-SUR-2;INT-SOL-IZQ-1-ILU-SUR-2;INT-SOL-IZQ-1-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
5;INT-SOL-IZQ-2-ILU-SUR-2;INT-SOL-IZQ-2-ILU-SUR-2;INT-SOL-IZQ-2-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
6;INT-SOL-IZQ-3-ILU-SUR-2;INT-SOL-IZQ-3-ILU-SUR-2;INT-SOL-IZQ-3-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
7;INT-SOL-IZQ-4-ILU-SUR-2;INT-SOL-IZQ-4-ILU-SUR-2;INT-SOL-IZQ-4-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
8;INT-NUB-IZQ-1-ILU-SUR-2;INT-NUB-IZQ-1-ILU-SUR-2;INT-NUB-IZQ-1-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
9;INT-NUB-IZQ-2-ILU-SUR-2;INT-NUB-IZQ-2-ILU-SUR-2;INT-NUB-IZQ-2-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
10;INT-NUB-IZQ-3-ILU-SUR-2;INT-NUB-IZQ-3-ILU-SUR-2;INT-NUB-IZQ-3-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
11;INT-NOC-IZQ-ILU-SUR-2;INT-NOC-IZQ-ILU-SUR-2;INT-NOC-IZQ-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
12;INT-CREP-IZQ-1-ILU-SUR-2;INT-CREP-IZQ-1-ILU-SUR-2;INT-CREP-IZQ-1-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
13;INT-CREP-IZQ-2-ILU-SUR-2;INT-CREP-IZQ-2-ILU-SUR-2;INT-CREP-IZQ-2-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
14;INT-CREP-IZQ-3-ILU-SUR-2;INT-CREP-IZQ-3-ILU-SUR-2;INT-CREP-IZQ-3-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
15;INT-CREP-IZQ-4-ILU-SUR-2;INT-CREP-IZQ-4-ILU-SUR-2;INT-CREP-IZQ-4-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
16;INT-SOL-DER-1-ILU-SUR-2;INT-SOL-DER-1-ILU-SUR-2;INT-SOL-DER-1-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
17;INT-SOL-DER-2-ILU-SUR-2;INT-SOL-DER-2-ILU-SUR-2;INT-SOL-DER-2-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
18;INT-SOL-DER-3-ILU-SUR-2;INT-SOL-DER-3-ILU-SUR-2;INT-SOL-DER-3-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
19;INT-SOL-DER-4-ILU-SUR-2;INT-SOL-DER-4-ILU-SUR-2;INT-SOL-DER-4-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
20;INT-NUB-DER-1-ILU-SUR-2;INT-NUB-DER-1-ILU-SUR-2;INT-NUB-DER-1-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
21;INT-NUB-DER-2-ILU-SUR-2;INT-NUB-DER-2-ILU-SUR-2;INT-NUB-DER-2-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
22;INT-NUB-DER-3-ILU-SUR-2;INT-NUB-DER-3-ILU-SUR-2;INT-NUB-DER-3-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
23;INT-CREP-DER-1-ILU-SUR-2;INT-CREP-DER-1-ILU-SUR-2;INT-CREP-DER-1-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
24;INT-CREP-DER-2-ILU-SUR-2;INT-CREP-DER-2-ILU-SUR-2;INT-CREP-DER-2-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
25;INT-CREP-DER-3-ILU-SUR-2;INT-CREP-DER-3-ILU-SUR-2;INT-CREP-DER-3-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
26;INT-CREP-DER-4-ILU-SUR-2;INT-CREP-DER-4-ILU-SUR-2;INT-CREP-DER-4-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
27;INT-EXT-ILU-SUR-2;INT-EXT-ILU-SUR-2;INT-EXT-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;ChangeMeasureHistorical.groovy
28;INT-Q27-ILU-NOR-2;INT-Q27-ILU-NOR-2;INT-Q27-ILU-NOR-2;Autovía A-4;LT2;;Madrid;ChangeMeasureHistorical.groovy
